,Code,Name,fscore,ROA,ROA_prev,CFO,LEV,LEV_prev,LEQ,LEQ_prev,GMO,GMO_prev,ATR,ATR_prev
35,A011790,SKC,4,0.03329404307241031,0.09737437508260961,0.06176847825262023,0.2850127376347394,0.2789764958906214,0.9856512393961362,0.9626037683513958,0.1946532158194709,0.23285980336956993,0.5239824533442621,0.6283111874791046
36,A049800,우진플라임,8,0.04289363141872814,-0.04472394358220817,0.08872868563227417,0.4324027069963768,0.17886321172399555,1.3999358072097876,0.6308608285785166,0.2648580516910222,0.18260653746894687,0.7550532812494779,0.5155388349375788
37,A010120,LS산전,5,0.027459034761116354,0.03228725953195604,0.10708657308354642,0.24308968234331285,0.2885182237186576,1.8853140866995959,2.1132620908293744,0.19355400086429414,0.21196951720361412,0.812351453795904,0.814995258195883
38,A105840,우진,4,0.008337699344291622,0.15413018897227015,-0.06653438649639808,0.018501715427151066,0.04870133015068873,2.2636779078860254,2.3443026528796835,0.24853809530886692,0.2265281646348214,0.32063127051238827,0.4187280608130342
39,A064350,현대로템,8,0.002255194278166907,-0.07640220268247469,0.13497202838286845,0.27293435301258473,0.3341795266029492,1.8392055197191148,1.779967775398945,0.09560849481205988,-0.013021273923483897,0.5873996078968956,0.7616552831666287
40,A011160,두산건설,5,-0.08912515202909363,-0.09937439260206779,-0.024540554285481252,0.07105809444043641,0.08362284770592632,0.7229144529464493,0.6958648268779726,0.08892489231662443,0.061465556431518555,0.3057541962428723,0.3467820631274782
41,A004370,농심,8,0.0860449972757113,0.05441450889799081,0.09281186460949647,0.0326984234943554,0.03972151255395223,1.8762907506095061,1.5506358003359642,0.29191328489574103,0.2915434855509483,0.8249013275923932,0.8875173023049269
42,A085310,엔케이,4,-0.11060914149526885,0.006095166775212018,0.04537219318729106,0.04007127569696922,0.13315648321850637,0.6993200804882459,1.6157310658062893,-0.0340452140600817,0.07444263563511783,0.5582894214969687,0.8347821777972845
43,A058850,KTcs,5,0.038058169419928,0.03921083597130861,0.027215900916463438,0.007524803519160815,0.014243014243493463,2.1083510048345624,2.0967398332877054,0.01853487722108148,0.019526568301224102,2.2175076452599387,2.3880128684944952
44,A001340,백광산업,7,0.0077068281428980525,-0.030464471914889827,0.10811034032008227,0.1180686351052289,0.11468326615388873,0.262526458010059,0.3900314621993361,0.21314572332335752,0.19698427016881198,0.43820615953347913,0.2876119196983121
45,A003580,동원,5,-0.03580075591995702,0.0038126265784682732,-0.034025809413866445,0.03637020009762474,0.03888527298066267,2.198143697503067,0.5915950165369088,0.34934929626666283,0.29626266294863945,0.31284290855808256,0.2694047943366677
46,A001230,동국제강,7,0.007356734466592922,0.0022029183556483644,0.09871112415438216,0.14161381183628882,0.1853550288177919,0.6036742503843474,0.6823671889361058,0.12318950940100114,0.09294275398312088,0.6719717663348157,0.656519615584841
47,A002310,아세아제지,8,0.03529400033428967,-0.04315012064354302,0.04790380086805109,0.11681374095153747,0.07905705827834046,1.9888675056686465,1.715463164984048,0.10863932265917223,0.07689669020484553,0.7228297804341357,0.641908886800063
48,A011760,현대종합상사,5,0.006617196412242197,0.09698635549288483,0.02298584188151879,0.05203910930761771,0.022586692337515608,1.0232564362642909,1.0821789963033344,0.028420227812267374,0.022059240725800917,2.1052895843952317,2.48078665386004
49,A000210,대림산업,5,0.0036625086896841037,0.012638724500452551,0.025645450820471795,0.15246441674189892,0.13029062809355654,1.3529275858282703,1.5012750253968474,0.09526936614428902,0.10542596972214983,0.844278160426138,0.8091544742940691
50,A001120,LG상사,6,0.02019979584763796,-0.049529072086229406,0.010951676405613777,0.4011629837101906,0.3316237711632987,1.489792318685891,1.2885490437076124,0.07920561078039055,0.07155320630706116,0.9819735695664701,1.2530398115606582
51,A002880,대유에이텍,6,0.01990877321346525,0.005705647447103821,0.044731205559469474,0.10171132841182051,0.07745287886113959,0.4283417333295974,0.3461820307623041,0.11210433701493398,0.08818567967292484,1.0624559683891321,1.1642244895796912
52,A011230,삼화전자공업,7,-0.006050470284133402,-0.11630514632593794,0.02277661763840918,0.15403389366591466,0.15092887294909485,0.5619499824863361,0.5460733812389229,0.14877764733318422,0.03976414102623218,0.46870104374262456,0.336474376544024
53,A058650,세아홀딩스,5,0.030507436876230965,0.032156913997152384,0.030692960768274363,0.06893140785788573,0.0726658267882303,0.033020447280459865,0.08701476994982518,0.706563644844304,0.7214254189483059,0.04406735541919829,0.04597129375431087
54,A017940,E1,5,0.020158929933980937,0.028714377952357192,0.02508673535585838,0.27280643460296594,0.2962582965432321,1.318120530272795,1.4022361363782627,0.07411448725534556,0.07492204503599531,1.3149349534891703,1.4129178910018296
55,A030200,케이티,9,0.033412323253173705,0.030911505880747824,0.18241923831148726,0.3102091458379324,0.31987229054917504,0.804801855443314,0.7755564215741206,0.062223044354009945,0.0509880536405704,0.703019919496336,0.6798634045336532
56,A004910,조광페인트,7,0.07738997477694126,0.08371368865512951,0.08284815222648831,0.0865669356405667,0.0516889325080688,1.9660213644473492,1.4218162920396618,0.21714912546692916,0.21349279325405263,0.8352075277485528,0.8297658635900916
57,A031430,신세계인터내셔날,6,0.009414502611454878,0.015014844097358952,0.06698300200419562,0.17905804427730482,0.11507539859780966,1.0818500927670835,0.9747467739697516,0.4895402123955588,0.4644013109624088,1.0726694925424722,1.0851013716174192
58,A005820,원림,6,0.041047773482400844,0.0207978586421901,0.04044477085095551,0.054841925809956706,0.063019700902099,1.6436004081020386,1.4370951174748652,0.08501607815819463,0.08885126943276885,0.5516931153205986,0.6043372000274637
59,A007630,암니스,3,-0.33263934635638376,-0.1686727980084647,-0.06979973151097617,0.07771055255348516,0.08616987683195443,0.5051752022831785,0.26020594681434017,0.0548351625465107,0.1491521514362908,0.6107112732767392,0.7519067754684539
60,A027410,BGF리테일,3,0.11463292699630187,0.12766246821595412,0.21941651828516642,0.12582179780601374,0.12227899711418813,1.270282175602505,1.34058511300799,0.19016386475541713,0.20281635557810332,3.3839679495959456,3.596669961225576
61,A005680,삼영전자공업,7,0.025101468430809577,0.02601733831585176,0.033817155842922705,0.004833633985174329,0.006118145386844897,14.058797409582434,11.811835348603532,0.12289357228018694,0.11772601243173855,0.41602423529943705,0.4393383967493054
62,A004980,성신양회,6,0.011841888706898167,-0.030501165343223852,0.10478638721881965,0.1685487404953265,0.2095071878014054,0.5207452756508274,0.5671480684688055,0.20866023671680886,0.22193435765993771,0.612095671555131,0.5865531600389372
63,A001780,알루코,7,0.053020138547548695,0.04748392400778986,0.13781098744609319,0.059721626856160816,0.08569130338734948,1.3135970608973169,1.2699735478974632,0.1283212676749591,0.12925056890387243,0.8407782064413674,0.8047226035030913
64,A012600,청호컴넷,4,-0.10126623454389,-0.17410512515919097,-0.0996167719538199,0.1161337118288445,0.007892026797705473,0.4875965046958395,0.4336495209803294,0.11887741678872836,0.1587618525515132,0.674182846199504,0.5146475913080335
